url,headline,datetime,fact_check_details,organization,caa
https://www.vishvasnews.com/english/viral/fact-check-beware-fake-sms-on-paytm-kyc-suspension-viral/,Fact Check: Beware! Fake SMS on Paytm KYC Suspension viral,3-Jan-20,Claim Review : Paytm KYC suspended and account will be blocked within 24 hours,Vishvas News,No
https://www.vishvasnews.com/viral/quick-fact-check-no-match-stick-powder-cannot-cure-scorpian-bite/,"        Quick Fact Check: माचिस की तीली का पाउडर नहीं कर सकता बिच्छू के डंक का इलाज, फेक पोस्ट फिर से वायरल      ",4-Mar-20,Claim Review : माचिस की पांच सात तीलियों का मसाला पानी में घिस कर बिच्छू के काटे हुए स्थान पर लगाएं। इसे लगाते ही बिच्छू का जहर उतर जाता है।,Vishvas News,No
https://www.vishvasnews.com/politics/bjp-mla-did-not-demolish-ambedkar-statue-incident-two-years-old/,"        Quick Fact Check : भाजपा विधायक ने नहीं गिराई थी अंबेडकर की मूर्ति, घटना दो साल पुरानी      ",28-Jan-20,Claim Review : दावा किया जा रहा है कि भाजपा विधायक करणी सिंह ने अंबेडकर की मूर्ति गिरा दी,Vishvas News,No
https://www.vishvasnews.com/viral/fact-check-video-of-beating-in-ambala-viral-with-false-communal-claim/,Fact Check : अंबाला में मनचले की पिटाई का वीडियो झूठे सांप्रदायिक दावे के साथ वायरल,22-Jan-20,Claim Review : दावा किया जा रहा है कि पांच साल की बच्‍ची से रेप की कोशिश करने वाले मुस्लिम युवक की पिटाई,Vishvas News,No
https://www.vishvasnews.com/politics/fact-check-old-list-of-corrupt-countries-viral-with-misleading-claim-about-india/,"        Quick Fact Check: भ्रष्ट देशों की पुरानी सूची फिर से वायरल, ताजा रैंकिंग में उत्तर कोरिया है सबसे भ्रष्ट      ",9-Jan-20,Claim Review : फोर्ब्स की सूची में भारत एशिया का सबसे भ्रष्ट देश,Vishvas News,No
https://www.vishvasnews.com/english/health/quick-fact-check-fake-red-dot-eye-test-to-check-vision-resurfaces/,Quick Fact Check: Fake red dot eye test to check vision resurfaces,19-Feb-20,Claim Review : The number visible in the red dot decides the strength of your eyes,Vishvas News,No
https://www.vishvasnews.com/english/health/quick-fact-check-fake-post-claiming-harmful-tablets-contain-tissue-paper-resurfaces/,Quick Fact Check: Fake post claiming harmful tablets contain tissue paper resurfaces,2-Jan-20,Claim Review : Harmful tablets contain tissue paper,Vishvas News,No
https://www.vishvasnews.com/politics/fact-check-image-of-mohammad-yunus-with-indira-gandhi-viral-with-malicious-claim/,"        Fact Check: फिरोज गांधी के पिता का नाम जहांगीर फरदून था न कि युनूस खान, गलत दावे के साथ इंदिरा गांधी की तस्वीर वायरल      ",6-Jan-20,Claim Review : युनूस खान थे पूर्व प्रधानमंत्री इंदिरा गांधी के ससुर,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-post-claiming-that-a-smoothie-can-cure-diabetes-is-misleading/,Fact Check: Post claiming that a smoothie can cure diabetes is misleading,9-Dec-19,Claim Review : A smoothie made of certain ingredients can cure diabetes and reduce weight,Vishvas News,No
https://www.vishvasnews.com/english/health/quick-fact-check-fake-post-claiming-baking-soda-can-cure-cancer-resurfaces/,Quick Fact Check: Fake post claiming baking soda can cure cancer resurfaces,20-Mar-20,Claim Review :  baking soda can cure cancer,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-post-claiming-garlic-water-can-cure-novel-coronavirus-is-fake/,Fact Check: Post claiming garlic water can cure novel coronavirus is fake,10-Feb-20,Claim Review : Garlic water can cure coronavirus,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-fake-post-on-paracetamol-p-500-containing-machupo-virus-resurfaces/,Fact Check: Fake post on Paracetamol P-500 Containing Machupo Virus Resurfaces,7-Feb-20,Claim Review : Paracetamol P-500 Contains Machupo Virus Resurfaces,Vishvas News,No
https://www.vishvasnews.com/english/viral/fact-check-fake-post-on-hiv-infected-blood-in-pepsi-going-viral/,Fact Check: Fake post on HIV-infected blood in Pepsi getting viral,10-Dec-19,Claim Review : HIV-infected blood in Pepsi,Vishvas News,No
https://www.vishvasnews.com/society/fact-check-no-machine-guns-found-in-the-mosque-old-incident-now-viral/,"        Fact Check : मस्जिद में मशीनगन मिलने की बात झूठी है, 2019 की घटना को अब किया जा रहा है वायरल      ",16-Mar-20,Claim Review : तस्‍वीरों के जरिए दावा किया जा रहा है कि बिजनौर के मदरसे में मशीनगन मिली।,Vishvas News,No
https://www.vishvasnews.com/politics/fact-check-this-old-video-from-rajasthan-has-no-connection-with-assam-nrc/,Fact Check: राजस्थान के पुराने वीडियो को असम NRC से जोड़कर किया जा रहा है वायरल,22-Jan-20,"Claim Review : Nrc started in assam.They have begun evicting people from their homes,the media doesn't show it ,they are already bought and gagged ,so it is our responsibility now to share this video.",Vishvas News,Yes
https://www.vishvasnews.com/english/viral/fact-check-video-showing-blue-colored-apple-made-in-china-is-fake/,Fact Check: Video showing blue-colored apple made in China is fake,26-Dec-19,Claim Review : Blue-colored apple made in China,Vishvas News,No
https://www.vishvasnews.com/politics/fact-check-pm-modi-was-eating-litti-chokha-not-biryani-edited-image-is-viral/,Fact Check: प्रधानमंत्री मोदी की लिट्टी-चोखा खाते हुए तस्वीर से की गई है छेड़छाड़,22-Feb-20,"Claim Review : ई का बोर्ड लगा रखा है, लिट्टी चोखा का और खिला रहा है बिरयानी वो भी लेगपीस के साथ,",Vishvas News,No
https://www.vishvasnews.com/society/fact-check-shirdi-sai-trust-did-not-gave-any-statement-about-ram-mandir-donation/,"        Fact Check: शिरडी साईं ट्रस्ट ने राम मंदिर डोनेशन को लेकर नहीं किया कोई बयान जारी, वायरल किया जा रहा दावा फ़र्ज़ी है      ",13-Dec-19,Claim Review : शिरडी साईं ट्रस्ट ने कहा की राम मंदिर दूसरे धर्म का मामला है….. हम वह कुछ भी नहीं दे सकते। हिन्दुओं आँखे खोलो,Vishvas News,No
