url,headline,datetime,organization,caa
https://www.boomlive.in/fake-news/fake-journalists-detained-in-mangaluru-media-misreports-protest-6361,'Fake Journalists' Detained In Mangaluru? Media Misreports Protest,12/20/19,Boomlive,Yes
https://www.boomlive.in/fake-news/cannot-lathi-charge-innocents-have-police-joined-protests-6365,'Cannot Lathi Charge Innocents' Have Police Joined Protests?,12/21/19,Boomlive,Yes
https://www.boomlive.in/world/misquote-attributed-to-elizabeth-warren-on-abortions-goes-viral-7117,Misquote Attributed To Elizabeth Warren On Abortions Goes Viral,3/4/20,Boomlive,Yes
https://www.boomlive.in/health/sadhgurus-claims-on-breast-milk-heres-what-research-says-6959,Sadhguru's Claims On Breast Milk: Here's What Research Says,2/21/20,Boomlive,Yes
https://www.boomlive.in/health/viral-video-about-cockroaches-allowed-in-chocolates-is-misleading-7020,Viral Video About Cockroaches Allowed In Chocolates Is Misleading,2/26/20,Boomlive,Yes
https://www.boomlive.in/unrelated-photos-falsely-shared-as-weapons-seized-from-up-mosque-6707,Unrelated Photos Falsely Shared As Weapons Seized From UP Mosque,1/30/20,Boomlive,Yes
https://www.boomlive.in/fake-news/hyderabad-encounter-news-channels-misreport-using-2015-image-6218,Hyderabad Encounter: News Channels Misreport Using 2015 Image,12/6/19,Boomlive,Yes
https://www.boomlive.in/fake-news/did-french-police-kill-muslim-infiltrators-a-factcheck-6632,Did French Police Kill Muslim Immigrants? A FactCheck,1/22/20,Boomlive,No
https://www.boomlive.in/world/coronavirus/italians-quarantined-in-brothel-satire-news-goes-viral-7235,Italians Quarantined In Brothel? Satire News Goes Viral,3/16/20,Boomlive,No
https://www.boomlive.in/fake-news/marijuana-kills-coronavirus-meme-viral-with-false-claims-6831,Marijuana Kills Coronavirus? Meme Viral With False Claims,2/8/20,Boomlive,No
https://www.boomlive.in/world/coronavirus-facial-hair-recommendations-not-shared-by-the-cdc-7167,Coronavirus: Facial Hair Recommendations Not Shared By The CDC,3/9/20,Boomlive,No
https://www.boomlive.in/private-member-bill-on-population-control-falsely-shared-as-government-bill,Private Member Bill On Population Control Falsely Shared As Government Bill,2/12/20,Boomlive,No
https://www.boomlive.in/fake-news/no-the-hyderabad-rape-accused-are-not-minors-6207,"No, The Hyderabad Rape Accused Are Not Minors",12/4/19,Boomlive,No
https://www.boomlive.in/fake-news/false-weapons-recovered-from-a-west-bengal-madrassa-6911,False: Weapons Recovered From A West Bengal Madrassa,2/17/20,Boomlive,No
https://www.boomlive.in/health/hoax-alert-viral-emergency-notification-on-coronavirus-is-fake-6682,Hoax Alert: Viral 'Emergency Notification' On Coronavirus Is Fake,1/28/20,Boomlive,No
https://www.boomlive.in/world/hoax-video-claims-kobe-bryants-widow-died-by-suicide-7016,Hoax Video Claims Kobe Bryant's Widow Died By Suicide,2/25/20,Boomlive,No
https://www.boomlive.in/world/90s-diabetes-awareness-poster-shared-in-anti-vaccination-sentiment-7166,90s Diabetes Awareness Poster Shared In Anti Vaccination Sentiment,3/9/20,Boomlive,No
https://www.boomlive.in/world/democratic-candidate-mike-bloomberg-tweets-fake-bernie-sanders-quotes-7079,Democratic Candidate Mike Bloomberg Tweets Fake Bernie Sanders Quotes,3/1/20,Boomlive,No
https://www.boomlive.in/fake-news/10-most-absurd-claims-fact-checked-in-2019-6440,10 Most Absurd Claims Fact Checked In 2019,12/31/19,Boomlive,No
https://www.boomlive.in/fake-news/coronavirus-indonesian-market-video-viral-as-wuhan-china-6697,"Coronavirus: Indonesian Market Video Viral As Wuhan, China",1/29/20,Boomlive,No
https://www.boomlive.in/world/coronavirus/can-bathing-in-hot-water-prevent-covid-19-7342,Can Bathing In Hot Water Prevent COVID-19?,3/24/20,Boomlive,No
https://www.boomlive.in/health/did-dettol-know-about-coronavirus-outbreak-beforehand-a-factcheck-6767,Not That Coronavirus: Why Dettol's Label Is Leading To Confusion Online,2/5/20,Boomlive,No
https://www.boomlive.in/health/coronavirus-rumours-hit-mumbai-hotels-westin-and-fatty-bao-7246,Coronavirus Rumours Hit Mumbai Hotels Westin And Fatty Bao,3/16/20,Boomlive,No
